genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Crime, Drama",en,US,2016-10-21,93,King Cobra,"Digital Ignition Entertainment, Yale Productions, SSS Entertainment, BondIt, Rabbit Bandini Productions",2016,>2010
"Action, History",no,NO,2012-09-28,76,Escape,"FilmFondet Fuzz, Fantefilm",2012,>2010
"Horror, Action",en,"CA, FR",2014-08-28,90,Wolves,"Dark Hero Studios, Copperheart Entertainment, The Movie Network, TF1 International, Movie Central, Corus Entertainment",2014,>2010
Comedy,en,US,2019-03-01,104,A Madea Family Funeral,Tyler Perry Studios,2019,>2010
"Drama, Crime",en,"GB, US",2010-11-10,103,London Boulevard,"London Boulevard, GK Films, Henceforth, Projection Pictures, Mandate International",2010,>2010
"Action, Comedy, Crime",en,US,1987-06-23,106,Dragnet,Universal Pictures,1987,1970-1990
"Action, Crime, Drama, Thriller",en,US,2008-09-11,101,Righteous Kill,"Nu Image, Grosvenor Park Media, Millennium Films, InVenture Entertainment, EFO Films",2008,2000-2010
"Comedy, Drama",en,US,2016-08-26,90,The Intervention,Burn Later Productions,2016,>2010
"Science Fiction, Horror",en,US,1981-04-28,85,Bloody Birthday,Judica Productions,1981,1970-1990
"Comedy, Western",en,US,1978-10-06,109,Goin' South,Paramount,1978,1970-1990
"Mystery, Drama, Crime, Thriller",en,"GB, US",2013-08-28,96,Closed Circuit,"Focus Features, Working Title Films",2013,>2010
"Comedy, Fantasy, Horror",en,GB,1988-09-21,93,The Lair of the White Worm,White Lair,1988,1970-1990
"Family, Animation, Adventure",en,US,2003-02-07,72,The Jungle Book 2,DisneyToon Studios,2003,2000-2010
Comedy,fr,"BE, FR",2001-09-14,119,Ghislain Lambert's Bicycle,"AF Production, Les Productions Lazennec, Pioneer Entertainment, StudioCanal",2001,2000-2010
"Comedy, Drama",en,US,2013-06-21,92,As Cool as I Am,"Identity Films, Wind Dancer Productions",2013,>2010
"Horror, Drama, Science Fiction",fr,CA,2017-09-23,104,Ravenous,"La Maison de Prod, Téléfilm Canada, SODEC",2017,>2010
"Comedy, Drama, Music, Romance",en,US,2014-11-03,94,The Last Five Years,"RADiUS-TWC, Lucky Monkey Pictures, Sh-K-Boom Records, Grand Peaks Entertainment",2014,>2010
"Action, Crime, Thriller",en,"DE, US",2001-03-01,120,15 Minutes,"New Line Cinema, Industry Entertainment, Tribeca Productions, New Redemption Pictures",2001,2000-2010
"Drama, Romance, War",en,"GB, US",2011-12-22,127,In the Land of Blood and Honey,"FilmDistrict, GK Films, Mandate International",2011,>2010
"Drama, Thriller",en,US,2001-09-14,107,The Glass House,"Original Film, Columbia Pictures",2001,2000-2010
