genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Romance, Drama",en,"BR, US, FR, IT",2017-09-01,132,Call Me by Your Name,"La Cinéfacture, RT Features, Frenesy Film, ""Waters End Productions"", M.Y.R.A. Entertainment",2017,>2010
"Family, Animation",en,US,2016-06-16,6,Piper,"Pixar, Walt Disney Pictures",2016,>2010
"Drama, Romance",en,US,1942-11-26,102,Casablanca,Warner Bros. Pictures,1942,<1950
"Crime, Thriller, Drama",en,"CA, US",2019-10-01,122,Joker,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",2019,>2010
"Comedy, Drama",en,US,2021-07-22,87,Bo Burnham: Inside,,2021,>2010
"Animation, Drama",en,US,2021-04-06,4,Save Ralph,"Humane Society International, Arch Model Studio, Vespa Pictures, Blue-Tongue Films",2021,>2010
"Horror, Music",en,US,1983-11-14,13,Michael Jackson's Thriller,Optimum Productions,1983,1970-1990
"Comedy, Music, Romance, Drama",en,US,1952-04-09,103,Singin' in the Rain,Metro-Goldwyn-Mayer,1952,1950-1970
"Drama, Thriller, Crime",en,"HK, US",2006-10-04,151,The Departed,"Vertigo Entertainment, Media Asia Films, Initial Entertainment Group, Warner Bros. Pictures, Plan B Entertainment",2006,2000-2010
"Crime, Drama",en,US,1976-02-09,114,Taxi Driver,"Italo/Judeo Productions, Bill/Phillips, Columbia Pictures",1976,1970-1990
"Action, Crime, Drama",en,US,1983-12-09,169,Scarface,Universal Pictures,1983,1970-1990
"Adventure, Family",en,US,2019-12-20,113,Togo,Walt Disney Pictures,2019,>2010
"Drama, Western",en,US,2012-12-25,165,Django Unchained,"The Weinstein Company, Columbia Pictures",2012,>2010
"Drama, Family",en,US,2017-11-13,113,Wonder,"Lionsgate, Participant, Walden Media, Mandeville Films",2017,>2010
"Animation, Adventure, Comedy, Fantasy",ja,JP,2019-08-30,90,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,"J.C.STAFF, KADOKAWA, Sammy, Nippon Columbia, Sony Music Entertainment (Japan), MAGES., Kadokawa Media House, 81 Produce, Toranoana",2019,>2010
"Drama, Science Fiction",de,DE,1927-02-06,149,Metropolis,UFA,1927,<1950
Drama,pt,BR,2016-04-21,106,Nise: The Heart of Madness,TvZERO,2016,>2010
Comedy,it,IT,1975-10-24,140,My Friends,"RPA Cinematografica, Rizzoli Film",1975,1970-1990
"Drama, Romance",en,AU,2020-10-24,78,My First Summer,Noise & Light,2020,>2010
Drama,en,US,1950-10-06,139,All About Eve,20th Century Fox,1950,1950-1970
Drama,sv,SE,1957-12-26,91,Wild Strawberries,SF Studios,1957,1950-1970
"Action, Animation, Drama, Fantasy",ja,JP,2021-04-15,138,Demon Slayer: Kimetsu no Yaiba Mt. Natagumo Arc,,2021,>2010
Drama,pt,"BR, FR",1998-11-20,110,Central Station,"MACT Productions, Videofilms, Riofilm",1998,1990-2000
"Animation, Action, Adventure, Fantasy",ja,JP,2014-11-22,118,Attack on Titan: Crimson Bow and Arrow,"WIT STUDIO, MBS, Pony Canyon, Production I.G, Kodansha",2014,>2010
Drama,en,US,1997-12-05,127,Good Will Hunting,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership",1997,1990-2000
"Comedy, Drama",it,"FR, IT",1960-02-05,176,La Dolce Vita,"Cinecittà, Pathé Consortium Cinéma, Riama Film",1960,1950-1970
"Crime, Drama, Mystery, Thriller",en,US,1944-06-14,107,Double Indemnity,Paramount,1944,<1950
Drama,en,US,1957-09-26,126,The Joker Is Wild,"AMBL Productions, Paramount",1957,1950-1970
"Drama, War",zh,CN,2000-05-12,139,Devils on the Doorstep,"Huayi Brothers Advertising, Asian Union Film & Entertainment, Beijing Zhongbo-Times Film Planning, CMC Xiandai Trade Co., China Film Co-Production Corporation",2000,2000-2010
"Drama, Thriller",ja,JP,1961-04-25,110,Yojimbo,TOHO,1961,1950-1970
"Animation, Drama",it,IT,2013-11-21,82,The Art of Happiness,"Big Sur, RAI Cinema, Istituto Luce Cinecittà, Mad Entertainment",2013,>2010
"Crime, Thriller",en,US,1992-09-02,99,Reservoir Dogs,"Live Entertainment, Dog Eat Dog Productions",1992,1990-2000
"Horror, Science Fiction",en,"US, GB",1979-05-25,117,Alien,"Brandywine Productions, 20th Century Fox",1979,1970-1990
"Drama, Comedy, War",it,"FR, IT",1959-10-28,130,The Great War,"Gray Film, Dino de Laurentiis Cinematografica",1959,1950-1970
"Drama, War",en,"GB, US",1987-06-26,117,Full Metal Jacket,"Natant, Stanley Kubrick Productions, Warner Bros. Pictures",1987,1970-1990
"Drama, Comedy, War",en,"GB, US",1964-01-29,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Hawk Films, Columbia Pictures",1964,1950-1970
"Drama, TV Movie",en,CA,2021-06-01,98,Believe Me: The Abduction of Lisa McVey,Cineflix Productions,2021,>2010
"Crime, Drama, Mystery",ja,JP,1950-08-26,88,Rashomon,Daiei Film,1950,1950-1970
"Comedy, Crime",en,"GB, US",1998-08-28,105,"Lock, Stock and Two Smoking Barrels","Summit Entertainment, The Steve Tisch Company, SKA Films, PolyGram Filmed Entertainment, HandMade Films",1998,1990-2000
"Family, Fantasy",it,IT,2020-01-17,64,Me Against You: Mr. S's Vendetta,"Warner Bros Pictures Italia, Me contro Te, Colorado Film",2020,>2010
"Animation, Family",en,US,2021-11-24,7,Far from the Tree,"Walt Disney Pictures, Walt Disney Animation Studios",2021,>2010
"Comedy, Drama",en,US,1998-06-04,103,The Truman Show,"Paramount, Scott Rudin Productions",1998,1990-2000
"Drama, War, History",tr,TR,2017-10-27,125,Ayla: The Daughter of War,Dijital Sanatlar,2017,>2010
"Drama, Mystery, Thriller",es,ES,2017-01-06,107,The Invisible Guest,"Think Studio, Nostromo Pictures, Colosé Producciones, ICEC, ICAA, Movistar+, TV3, Atresmedia, Orange, Cosmopolitan TV",2017,>2010
"Drama, War",es,"MX, PR, US",2005-01-28,120,Innocent Voices,"Santo Domingo Films, Altavista Films, MUVI Films, Lawrence Bender Productions, Organización Santo Domingo, A Band Apart, Lions Gate Films",2005,2000-2010
"Drama, History",ru,SU,1966-12-16,205,Andrei Rublev,"Mosfilm, Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov",1966,1950-1970
"Comedy, Crime",it,IT,1958-07-26,106,Big Deal on Madonna Street,"Lux Film, Vides Cinematografica",1958,1950-1970
"Drama, History, TV Movie",en,US,2009-01-24,90,Prayers for Bobby,"Once Upon a Time Films, Sladek Taaffe Productions, Permut Presentations",2009,2000-2010
"Comedy, Music, Romance, Crime",en,US,1959-03-19,122,Some Like It Hot,"The Mirisch Company, Ashton Productions, United Artists",1959,1950-1970
"Action, Adventure, Fantasy, Thriller",ko,"HK, KR",2017-12-14,139,Along with the Gods: The Two Worlds,"Lotte Entertainment, Dexter Studios, Realies Pictures, Korean Film Council, Alpha Pictures, kth, Union Investment Partners",2017,>2010
"Action, Comedy, Mystery",en,US,1924-04-17,45,Sherlock Jr.,Metro Pictures Corporation,1924,<1950
"Drama, Romance",cn,"FR, HK, NL",2000-09-29,99,In the Mood for Love,"Block 2 Pictures, Orly Films, Jet Tone Films, Paradis Films, Fortissimo Films",2000,2000-2010
Comedy,es,AR,1985-05-06,87,Waiting for the Hearse,"Rosafrey SRL, Susy Suranyi y Asociados",1985,1970-1990
"Crime, Action, Drama, Thriller",en,US,1993-02-05,190,Bound by Honor,Hollywood Pictures,1993,1990-2000
"Fantasy, Adventure",en,"GB, US",2011-07-07,130,Harry Potter and the Deathly Hallows: Part 2,"Warner Bros. Pictures, Heyday Films",2011,>2010
Comedy,it,IT,1996-03-29,120,I corti,A.Gi.Di.,1996,1990-2000
"Adventure, Comedy, Drama",fr,"FR, IT",1965-10-22,128,The Wise Guys,"Société Nouvelle de Cinématographie (SNC), Alexandra Film, Les Productions Belles Rives",1965,1950-1970
"Family, Drama",en,"US, CA",1985-12-01,199,Anne of Green Gables,Sullivan Entertainment,1985,1970-1990
"Animation, Drama, Fantasy",ja,JP,2013-11-23,137,The Tale of The Princess Kaguya,"Studio Ghibli, Hakuhodo DY Media Partners, KDDI, Mitsubishi Shoji, GKIDS, Nippon Television Network Corporation, TOHO, Buena Vista Home Entertainment, T2 Studio",2013,>2010
"Animation, Comedy, Family",en,US,1953-02-28,7,Duck Amuck,"Warner Bros. Pictures, Warner Bros. Cartoons",1953,1950-1970
"Family, Animation, Comedy, Mystery",en,US,2015-07-10,79,Scooby-Doo! and KISS: Rock and Roll Mystery,Warner Bros. Animation,2015,>2010
Animation,en,,2004-05-29,66,Justice League - Starcrossed,,2004,2000-2010
Drama,ko,KR,2011-09-22,125,Silenced,"Sangeori Pictures, Fantagio, CJ Entertainment",2011,>2010
"Drama, Action, Thriller, Crime",de,DE,1931-05-11,109,M,Nero-Film AG,1931,<1950
"War, Drama, History",ja,JP,1959-01-15,206,The Human Condition I: No Greater Love,"Ninjin Club, Shochiku",1959,1950-1970
"Science Fiction, Drama, Romance",en,US,2004-03-19,108,Eternal Sunshine of the Spotless Mind,"Focus Features, Anonymous Content, This Is That Productions",2004,2000-2010
"Animation, Fantasy, Action, Romance, Comedy",ja,JP,1995-12-23,60,Sailor Moon SuperS: The Movie: Black Dream Hole,Toei Animation,1995,1990-2000
"Comedy, Romance, TV Movie",ru,SU,1977-10-26,159,Office Romance,Mosfilm,1977,1970-1990
"Drama, History",fr,FR,1928-04-21,82,The Passion of Joan of Arc,Société générale des films,1928,<1950
Drama,en,"ZA, DE, US, FR, GB",2020-11-27,110,Black Beauty,"Constantin Film, JB Pictures",2020,>2010
"Animation, Fantasy, Mystery",ja,JP,2017-01-06,83,Kizumonogatari Part 3: Reiketsu,SHAFT,2017,>2010
Drama,ja,JP,1965-04-03,185,Red Beard,"TOHO, Kurosawa Production",1965,1950-1970
"Comedy, Romance",es,EC,2021-10-14,90,Misfit,"Touché Films, 2btube",2021,>2010
"Comedy, Music",en,US,2016-06-03,60,Bo Burnham: Make Happy,"Attic Bedroom, 3 Arts Entertainment",2016,>2010
Drama,fr,FR,1995-05-31,98,La Haine,"Kasso Productions, La Sept Cinéma, Les Productions Lazennec, Canal+, StudioCanal",1995,1990-2000
"Animation, Fantasy, Mystery",ja,JP,2016-08-19,64,Kizumonogatari Part 2: Nekketsu,SHAFT,2016,>2010
"Animation, Fantasy, Adventure, Action",ja,,2022-12-20,52,The Seven Deadly Sins: Grudge of Edinburgh Part 1,"Marvy Jack, Alfred Imageworks",2022,>2010
Drama,da,"BE, DK, FR, SE",2012-10-25,116,The Hunt,"Zentropa Entertainments, Det Danske Filminstitut, DR, Eurimages, MEDIA Programme of the European Union, Svenska Filminstitutet, SVT, Film i Väst, Nordisk Film & TV Fond",2012,>2010
Drama,en,"FR, DE, GB, US",1984-08-23,145,"Paris, Texas","Channel Four Films, Pro-ject Filmproduktion, Argos Films, Wim Wenders Stiftung, WDR, Road Movies, 20th Century Fox",1984,1970-1990
Drama,en,US,2007-12-26,158,There Will Be Blood,"Paramount Vantage, Miramax, Ghoulardi Film Company",2007,2000-2010
"Action, Thriller, Science Fiction",en,"FR, US",1991-07-03,137,Terminator 2: Judgment Day,"Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+, T2 Productions",1991,1990-2000
"Drama, War, Mystery",fr,"CA, FR",2010-09-04,131,Incendies,"TS Productions, Phi Group, micro_scope, Entertainment One, Téléfilm Canada, Super Écran, CNC, The Movie Network, Société Radio-Canada, Astral Media, Seville International, Sony Pictures Classics",2010,>2010
"Crime, Drama",en,"GB, US",2017-12-01,115,"Three Billboards Outside Ebbing, Missouri","Blueprint Pictures, Cutting Edge Group, Fox Searchlight Pictures, Film4 Productions",2017,>2010
"Animation, Action, War, Fantasy",ja,JP,2019-02-08,98,Saga of Tanya the Evil: The Movie,NUT,2019,>2010
"Animation, Action, Fantasy",zh,CN,2021-02-06,116,New Gods: Nezha Reborn,"bilibili, Alibaba Pictures Group, Light Chaser Animation Studios",2021,>2010
"Drama, Romance",en,"FR, GB, US",2005-09-16,127,Pride & Prejudice,"Focus Features, Universal Pictures, StudioCanal, Working Title Films, Scion Films",2005,2000-2010
Drama,en,"AU, GB, US",2016-11-24,118,Lion,"The Weinstein Company, See-Saw Films, Screen Australia, Aquarius Films, Sunstar Entertainment",2016,>2010
"Animation, Action, Adventure, Fantasy",ja,JP,2020-02-21,94,Digimon Adventure: Last Evolution Kizuna,"Toei Animation, Yumeta Company",2020,>2010
"Science Fiction, Mystery, Adventure",en,"GB, US",1968-04-02,149,2001: A Space Odyssey,"Stanley Kubrick Productions, Metro-Goldwyn-Mayer",1968,1950-1970
"Drama, Comedy",zh,CN,2018-07-06,117,Dying to Survive,"Huanxi Media Group, Wanda Pictures, Alibaba Pictures Group, 东阳坏猴子影视文化传播有限公司",2018,>2010
"Family, Animation, Music",en,"CA, US",2014-09-27,75,My Little Pony: Equestria Girls - Rainbow Rocks,"DHX Media, Hasbro Studios",2014,>2010
Comedy,en,AU,2018-06-19,69,Hannah Gadsby: Nanette,Guesswork Television,2018,>2010
"Comedy, Crime",en,"GB, US",2021-05-26,134,Cruella,"Walt Disney Pictures, Gunn Films, Marc Platt Productions",2021,>2010
"Drama, Thriller, Crime",en,US,2013-09-18,153,Prisoners,"Madhouse Entertainment, Alcon Entertainment, 8:38 Productions, Warner Bros. Pictures, Summit Entertainment",2013,>2010
"Drama, History, War",de,DE,1981-09-17,150,Das Boot,"Radiant Film GmbH, Süddeutscher Rundfunk, Bavaria Film, Twin Bros. Productions, Columbia Pictures, WDR",1981,1970-1990
"Animation, Fantasy, Adventure, Action, Family",en,US,2019-10-25,22,How to Train Your Dragon: Homecoming,DreamWorks Animation,2019,>2010
"Animation, Family, Science Fiction",en,US,2008-06-22,98,WALL·E,"Pixar, Walt Disney Pictures",2008,2000-2010
"Comedy, Documentary",en,US,2000-07-26,57,Dave Chappelle: Killin' Them Softly,,2000,2000-2010
Drama,fr,FR,1959-06-03,99,The 400 Blows,"Les Films du Carrosse, Sédif Productions",1959,1950-1970
"Animation, Drama, Fantasy",fr,CA,1987-05-13,30,The Man Who Planted Trees,"Société Radio-Canada, CBC, ONF | NFB",1987,1970-1990
"Drama, TV Movie",pl,"DE, PL",1989-09-05,53,Decalogue I,"Sender Freies Berlin, Studio Filmowe Tor, TVP",1989,1970-1990
"Drama, Action, Crime",pt,BR,2007-10-12,115,Elite Squad,"Universal Pictures do Brasil, The Weinstein Company, Zazen Produções, Estúdios Mega, Quanta Centro de Produções Cinematográficas, Costa Films, Posto 9, Feijão Filmes",2007,2000-2010
"Drama, History, Thriller",ko,KR,2017-12-27,129,1987: When the Day Comes,"CJ Entertainment, Woojeong Film",2017,>2010
"Fantasy, Animation, Family",ja,JP,1988-04-16,86,My Neighbor Totoro,"Studio Ghibli, Nibariki, Tokuma Shoten",1988,1970-1990
Comedy,tr,TR,2013-01-02,139,CM101MMXI Fundamentals,CMYLMZ Fikirsanat,2013,>2010
Comedy,es,MX,2020-02-14,93,"Veinteañera, Divorciada y Fantástica","Different Films, All About Media",2020,>2010
"Action, Drama, History",ko,KR,2017-08-02,138,A Taxi Driver,"The LAMP, Showbox",2017,>2010
"Action, Drama, History",ja,"JP, FR",1985-06-01,160,Ran,"Nippon Herald Films, Greenwich Film Production, Herald Ace, TOHO",1985,1970-1990
"Crime, Drama, Thriller",ko,KR,2003-05-02,131,Memories of Murder,"CJ Entertainment, Muhan Investment, Sidus",2003,2000-2010
Drama,es,MX,2015-03-06,95,The Thin Yellow Line,"Springall Pictures, FIDECINE, Consejo Nacional para la cultura y las artes",2015,>2010
"Drama, History, Romance",it,IT,2003-06-22,366,The Best of Youth,"BiBi Film, Rai Fiction",2003,2000-2010
"Drama, Romance",it,"IT, CA",1977-08-11,106,A Special Day,"Compagnia Cinematografica Champion, Canafox Films",1977,1970-1990
Comedy,en,US,2012-01-31,58,John Mulaney: New in Town,"Irwin Entertainment, 3 Arts Entertainment",2012,>2010
"Drama, History",en,"GB, US",1980-10-09,124,The Elephant Man,"Brooksfilms, Paramount",1980,1970-1990
"Drama, History",en,US,2016-12-10,127,Hidden Figures,"Fox 2000 Pictures, Levantine Films, Chernin Entertainment",2016,>2010
"Comedy, War, Drama",en,"CZ, NZ, US",2019-10-18,108,Jojo Rabbit,"Fox Searchlight Pictures, Defender Films, Piki Films, TSG Entertainment, Czech Anglo Productions",2019,>2010
"Comedy, Romance",it,IT,1956-08-23,101,"Toto, Peppino, and the Hussy",D.D.L.,1956,1950-1970
"Crime, Drama",it,"IT, FR",1960-10-06,178,Rocco and His Brothers,"Titanus, Les Films Marceau",1960,1950-1970
"Comedy, Drama",en,"DE, US",2014-02-26,100,The Grand Budapest Hotel,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",2014,>2010
Drama,it,IT,2018-09-12,100,On My Skin,"Cinemaundici, Lucky Red",2018,>2010
"Action, Crime, Thriller",en,US,2021-03-18,92,Nobody,"87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",2021,>2010
"Comedy, Drama, Romance",en,US,2018-02-16,110,"Love, Simon","Temple Hill Entertainment, Fox 2000 Pictures, New Leaf Literary & Media, 20th Century Fox, Twisted Media",2018,>2010
"Drama, Comedy",en,US,2017-04-12,101,Gifted,"Grade A Entertainment, Dayday Films, FilmNation Entertainment, Fox Searchlight Pictures",2017,>2010
"Drama, Romance",hi,"AE, IN, US",2010-02-10,165,My Name Is Khan,"Dharma Productions, Fox Searchlight Pictures, Red Chillies Entertainment, Star Studios, Imagenation Abu Dhabi FZ",2010,>2010
Drama,tr,TR,2021-03-12,96,Paper Lives,"OGM Pictures, OG Medya",2021,>2010
"Action, Comedy, Science Fiction, Animation",ja,JP,2013-07-04,110,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,"TV Tokyo, Aniplex, SUNRISE, Studio Lagurus, dentsu, Bandai Visual",2013,>2010
Drama,pt,BR,2015-06-04,112,The Second Mother,"África Filmes, Gullane Entretenimento",2015,>2010
"Drama, History",bn,IN,1955-08-26,125,Pather Panchali,Government of West Bengal,1955,1950-1970
Comedy,es,MX,2021-07-15,86,El mesero,,2021,>2010
"Drama, Romance, War",ru,SU,1959-12-01,89,Ballad of a Soldier,Mosfilm,1959,1950-1970
"Drama, TV Movie",pl,"DE, PL",1989-09-10,58,Decalogue VI,"Sender Freies Berlin, Studio Filmowe Tor, TVP",1989,1970-1990
"Romance, History, Drama",zh,TW,2020-09-30,118,Your Name Engraved Herein,Oxygen Film Studio,2020,>2010
"Drama, Science Fiction, TV Movie",en,GB,2013-12-25,60,Doctor Who: The Time of the Doctor,"BBC, BBC Wales",2013,>2010
"Crime, Drama",es,MX,1950-12-09,77,The Young and the Damned,Ultramar Films,1950,1950-1970
"Animation, Drama, Mystery, History",en,"GB, PL",2017-06-22,95,Loving Vincent,"Breakthru Films, Trademark Films, Centrum Technologii Audiowizualnych, PISF, Odra Film, Good Deed Entertainment",2017,>2010
Drama,en,US,2022-12-09,116,The Whale,"A24, Protozoa Pictures",2022,>2010
"Family, Adventure, Drama",en,"CA, CN, IN, US",2019-05-03,109,A Dog's Journey,"Walden Media, Alibaba Pictures Group, Amblin Entertainment, Universal Pictures, DreamWorks Pictures, Amblin Partners, Pariah Entertainment Group, Reliance Entertainment",2019,>2010
"Action, Adventure, Drama",ru,"JP, SU",1975-08-02,141,Dersu Uzala,"Atelier 41, Daiei Film, Mosfilm",1975,1970-1990
"Animation, Family, Drama",en,US,2019-01-18,9,Kitbull,Pixar,2019,>2010
"History, Music, Drama",en,US,1984-09-19,180,Amadeus,"AMLF, The Saul Zaentz Company",1984,1970-1990
"Drama, Thriller",de,"FR, DE",2006-03-15,137,The Lives of Others,"Creado Film, Wiedemann & Berg Film, ARD, Sony Pictures Classics, ARTE, Buena Vista International (Germany) GmbH, Beta Cinema",2006,2000-2010
"Drama, TV Movie, Comedy",pl,"DE, PL",1989-09-14,57,Decalogue X,"Sender Freies Berlin, Studio Filmowe Tor, TVP",1989,1970-1990
"Horror, Mystery, Science Fiction",en,"CA, US",1982-06-25,109,The Thing,"Universal Pictures, Turman-Foster Company, Province of BC, Ministry of Tourism, Film Promotion Office",1982,1970-1990
"Drama, Thriller",en,"CA, IE, GB, US",2015-10-16,118,Room,"Elevation Pictures, Téléfilm Canada, Element Pictures, FilmNation Entertainment, No Trace Camping, Film4 Productions, Screen Ireland",2015,>2010
"Crime, Drama, Comedy",en,US,2013-12-25,180,The Wolf of Wall Street,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",2013,>2010
"Crime, Drama",en,US,2000-10-06,102,Requiem for a Dream,"Artisan Entertainment, Thousand Words, Protozoa Pictures",2000,2000-2010
Drama,ja,JP,1949-09-13,110,Late Spring,Shochiku,1949,<1950
Drama,da,DK,1943-11-13,97,Day of Wrath,Palladium,1943,<1950
"Comedy, Drama",pt,BR,2017-08-24,113,Bingo: The King of the Mornings,"Warner Bros. Pictures, Gullane Entretenimento",2017,>2010
